"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_aq","beta_aq","gamma_aq","alpha_tr","beta_tr","gamma_tr"
"114-1","extra_heavy",100,0.76,1.38353151619774,0.350053171515096,-9.63329905096969e-05,1.21051335212565,0.488988298140627,0.0275987045721245,1.15881151008412,0.538611442306092,0.0586201273881111
"114-2","extra_heavy",100,0.77,0.968549162091908,0.550334574957699,0.102137427990944,0.847100137423589,0.788519171582111,-0.0351466259963318,0.584655048498332,0.957761201613887,0.136388891526403
"114-3","extra_heavy",100,0.84,1.10873976546551,0.544650637895997,0.0877739452986247,0.0948511546919583,1.42646739539146,-0.0997090543909939,-0.00847003115045162,1.45989662701849,0.23647696263285
"114-4","extra_heavy",100,0.81,0.943344705689213,0.546707100881181,0.204839500164331,1.06805918359252,0.417201397267163,0.218475136608178,0.895800502873505,0.492056336988484,0.404754010328491
"114-5","extra_heavy",100,0.79,1.2085095082384,0.370790392507313,0.0495405533248383,1.41249857691062,0.173750007251798,0.135998688103562,1.44367727564494,0.0935366098086147,0.229515739989501
"114-6","extra_heavy",100,0.83,1.01798026498031,0.552447118676913,-0.0265636880465433,0.980048472468799,0.655406300080498,-0.151241118807889,0.66099313460927,0.876511866725359,0.0968991814554296
"114-7","extra_heavy",100,0.83,1.05860717144751,0.24297727683799,0.739887828247324,0.100380229109686,1.32615989586554,0.450634108419242,-0.106229133285955,1.37343544998127,0.753977262865959
"114-8","extra_heavy",100,0.8,1.01566490875601,0.413077089120337,0.314334803490351,0.952224183548664,0.490019563871563,0.432504336401516,1.08574997121517,0.357968074885692,0.50469125998654
"114-9","extra_heavy",100,0.87,0.748865628334769,0.484008176886345,0.366077060230489,0.55430822766335,0.57480026684329,0.418527512002366,0.220498928783548,0.877031647377147,0.513697295405877
"114-10","extra_heavy",100,0.78,1.23745640481409,0.468402170221915,0.254764663567376,1.12926577776574,0.584564007139228,0.197195550904783,1.05114576528937,0.59203928701209,0.403325182215024
"114-11","extra_heavy",100,0.85,1.25671533308145,0.480139569707085,-0.0938177383520958,1.16026125734197,0.616483062961675,-0.220531790373836,1.01293469222579,0.663125652345277,0.032249547642274
"114-12","extra_heavy",100,0.83,1.03280719351256,0.495958395893853,0.33845465576079,1.83932172622913,-0.241643085793614,0.628641718492384,2.05637611854258,-0.427302935422756,0.534480885612209
"114-13","extra_heavy",100,0.79,1.06042816983843,0.515208026596738,0.387493057879834,1.00907973190618,0.652358662007916,-0.138700506536866,0.849914864578815,0.782361522685406,0.519751266171855
"114-14","extra_heavy",100,0.81,1.03861399475939,0.513796982572375,0.411154640925394,1.0446559664545,0.511445012655214,0.476570133943804,1.09903155628629,0.472296901846915,0.51217925793803
"114-15","extra_heavy",100,0.85,1.15581111048063,0.388778352011418,0.237153504413196,0.86952344173345,0.678305530086525,-0.423253462756274,0.797110738329689,0.532669550683068,0.343065354867034
"114-16","extra_heavy",100,0.85,1.46370133084096,0.121690003863115,0.437366075127048,1.6764662010878,-0.0905650205436454,0.581548387755737,1.91522800442595,-0.287675906056916,0.526552917242717
"114-17","extra_heavy",100,0.76,1.18804927885877,0.411935520884359,0.338959761440982,1.41459396766934,0.202771649050831,0.464728421944443,1.03008750789411,0.556964315486347,0.512860053707023
"114-18","extra_heavy",100,0.84,1.20435346567382,0.385253805098085,0.0202648927833368,1.01480596689076,0.586580643960911,-0.0414837290294201,0.841138929908345,0.679845364004209,0.0994803862414325
"114-19","extra_heavy",100,0.85,1.00592374799057,0.458893868449772,0.404060413353965,1.46585964454464,0.075418787135841,0.542118716912036,1.73898051054341,-0.153702646907658,0.567341598570605
"114-20","extra_heavy",100,0.84,0.796831380072351,0.696690655981014,0.245926783660358,1.1752887283886,0.355728471596548,0.0578996451362124,1.02907040440203,0.443544242927526,0.40690195679265
"114-21","extra_heavy",100,0.84,0.71235031100907,0.678971830158685,0.121013440539972,1.26068628334381,0.162910066137112,0.286692207099816,1.31472450833114,0.112347903700694,0.354775311846617
"114-22","extra_heavy",100,0.85,1.03112911719517,0.479858487340682,0.262970503516269,0.632219990021306,0.881952585635413,-0.092975062372236,0.675286054196576,0.67992919926615,0.408405861458241
"114-23","extra_heavy",100,0.84,1.0291013436373,0.410043921733464,0.309275534687458,1.70064601225186,-0.195187968022219,0.468060487457241,1.62572074426083,-0.132993998707585,0.402170306596017
"114-24","extra_heavy",100,0.87,1.33906410565562,0.303329642883175,0.149132969716146,1.27775467331868,0.354926070848422,0.159194746168195,1.23774186634845,0.406645749593504,0.204017092917624
"114-25","extra_heavy",100,0.83,0.870710315642422,0.52308635334214,0.259829752734393,0.622489748144155,0.764355130949392,0.294646598553866,0.415647602631824,0.909433237747512,0.488556531091304
"114-26","extra_heavy",100,0.82,1.07732940166019,0.445204317296997,0.133487580786084,1.62608862476604,-0.0140875938023696,0.114425066756607,1.58536889815688,0.0108947495338734,0.120493622069037
