"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_aq","beta_aq","gamma_aq","se_alpha_aq","se_beta_aq","se_gamma_aq","alpha_tr","beta_tr","gamma_tr","se_alpha_tr","se_beta_tr","se_gamma_tr"
"11431-1","heavy",1000,0.455,0.957455113920186,0.478749132300446,0.279918719249164,0.94833719806978,0.498391137543079,0.309624773509721,0.052327836145829,0.0856778098247984,0.0662652912024552,0.936448031346059,0.554530929210224,0.319477691125304,0.0533910640212538,0.0953904787372676,0.0657939171698477
"11431-2","heavy",1000,0.477,1.12477576458948,0.433540384640494,0.135894789972579,1.11301642642242,0.553026939819868,0.166381756089733,0.0540106577364222,0.119304654734144,0.067286667304258,1.10128504026552,0.611102048919079,0.173108334565896,0.0552211789852521,0.130105943124371,0.0667677148618717
"11431-3","heavy",1000,0.491,0.971759088917012,0.47078620106265,0.306005959893144,0.959732692821445,0.535111252380917,0.315800780371512,0.0533342339907643,0.0957853913868089,0.0691419123288585,0.953018672040939,0.570120931985356,0.323230607310828,0.05401961248898,0.102467955990694,0.0687104591779982
"11431-4","heavy",1000,0.515,0.917576653210806,0.594740144772578,0.269300822361396,0.919935154834296,0.536370646434039,0.204355266056628,0.0528727497913396,0.0705677446098948,0.0755316842398721,0.885404804021897,0.681757084284025,0.228265175880899,0.054866226505245,0.0897176788357587,0.0741280959817357
"11431-5","heavy",1000,0.467,0.901113579494346,0.571256177966422,0.291913299533858,0.839697875490055,0.822006213677568,0.358094711919951,0.0578492009484208,0.115475826010055,0.0701691027619903,0.82707592812409,0.888816093938375,0.366966972495835,0.0589601250856136,0.125371382235397,0.0699017349743463
"11431-6","heavy",1000,0.485,0.940547408850695,0.522730410963061,0.334567453306722,0.927284307449377,0.540531124423138,0.360653459859555,0.054129325435311,0.0880230750184474,0.070468302862432,0.915569021381054,0.597812890220323,0.378903827164223,0.055790803355566,0.101116917367594,0.0698544689998153
"11431-7","heavy",1000,0.497,1.05339303457223,0.459267595975382,0.235659655917635,1.0452523357597,0.495518762898315,0.262130142765907,0.0574242722804962,0.0984396753714833,0.0757034349661141,1.0270988196636,0.569810975815453,0.279427695022765,0.0594687996377524,0.113903820036612,0.074514193386316
"11431-8","heavy",1000,0.474,1.06822293557212,0.481467906593483,0.196113562793532,1.14636020170177,0.268793116574132,0.259165790034407,0.0556276939970053,0.115427894476331,0.0695362205433346,1.14402195301955,0.282977090974275,0.264203490889249,0.0567695665963586,0.125452467148751,0.0690862269505785
"11431-9","heavy",1000,0.495,1.04194439559421,0.470424715848897,0.25722024593253,1.02895550650201,0.492968993269061,0.267120265965263,0.0527855862851146,0.0855746378514803,0.0678748273681746,1.01682815337964,0.547210564457599,0.280549522633804,0.054166296263037,0.0962884359572423,0.0672596720180082
"11431-10","heavy",1000,0.46,1.04263138814405,0.464272635171685,0.192914536969875,1.01224767958985,0.608409349723831,0.198524379739986,0.0528684675474551,0.101353204965336,0.0670906569417574,0.999411902524342,0.669906270854123,0.210356132478096,0.0542424183495337,0.112721758963408,0.066603736596323
