"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_aq","beta_aq","gamma_aq","se_alpha_aq","se_beta_aq","se_gamma_aq","alpha_tr","beta_tr","gamma_tr","se_alpha_tr","se_beta_tr","se_gamma_tr","time_aq","conv_msg_aq","time_tr"
11423,"heavy",100,0.46,1.0248460865611,0.326754213357616,0.459904748383452,1.09768693625991,0.101370523068789,0.571755196517256,0.211088613381983,0.541210066963084,0.280639536962961,1.09079506914702,0.103228048318553,0.57640399929197,0.21593148437799,0.600402735783143,0.275798704848443,1.27399999999943,NA,0.0149999999994179
11424,"heavy",100,0.55,1.06081145555466,0.615707152150969,0.232006107542551,1.05124114168438,0.446349677670355,0.349252197576579,0.239571370549329,0.288243450449393,0.276008342031415,1.02252950642514,0.653529498860814,0.368291448969195,0.25489919597759,0.458713336543545,0.272752962192432,0.76299999999901,NA,0.0180000000000291
11425,"heavy",100,0.53,0.790457723196543,0.446908712707141,0.560359213038276,0.862675872411715,0.184831500205495,0.703513256605657,0.279315867833379,0.654467201609732,0.30232441356852,0.873363999955751,0.131473799184858,0.720811447344935,0.290262105710325,0.759286799435792,0.29978660543956,1.128999999999,NA,0.0159999999996217
11426,"heavy",100,0.41,0.931458052615281,0.475697601761132,0.286690098857583,0.920153047388683,0.673509399689157,0.179682426018645,0.203511553498942,0.442207023392413,0.298495558950568,0.896436958437238,0.784687088737467,0.199425487095854,0.210142730820424,0.523227692243324,0.298191046292841,0.810999999999694,NA,0.0160000000014406
11427,"heavy",100,0.54,1.12012365961736,0.516566593655793,0.135562856193043,1.15135668102736,0.356633446507844,0.147233685656925,0.240504665166599,0.338230037537514,0.335354327897806,1.11020334679613,0.540388409417709,0.179886419441991,0.253630639757978,0.492478212016508,0.322127641588277,0.835999999999331,NA,0.0169999999998254
11428,"heavy",100,0.37,1.05024627424146,0.571252914557818,0.196395891272115,1.11406714577908,0.240531386895776,0.342110183638307,0.226383420575638,0.909077413597183,0.346316222689808,1.1168011525712,0.276125428935852,0.33364340145348,0.228144620561666,0.949726296413192,0.339967101860556,0.658999999999651,NA,0.0149999999994179
11429,"heavy",100,0.49,1.06894046014126,0.546168788425898,0.0863882545174954,1.00556569079023,0.595678468262502,0.204784584169638,0.249502908909893,0.40444583874497,0.28366562619254,1.00230259179056,0.719567819757401,0.206801916560805,0.257240626463256,0.501139675058835,0.282562247310611,1.17799999999988,NA,0.0159999999996217
11430,"heavy",100,0.49,1.04852261921754,0.428291715868745,0.344363286654488,0.977251041286097,0.652276249382587,0.318762425340271,0.231902258019869,0.404210304999077,0.275220210488552,0.966518327521889,0.739799860590874,0.335586492582683,0.237239443012291,0.469604878113026,0.275312467185447,0.864999999999782,NA,0.0169999999998254
11431,"heavy",100,0.55,0.870210831885964,0.597704093171355,0.251100434202474,0.900298764170795,0.437722720697031,0.315823578848205,0.237011570246929,0.401937101786802,0.281234961661789,0.903047491276672,0.44905941569871,0.335706339820874,0.241889858204007,0.471659276558633,0.279664189295737,1.2489999999998,NA,0.0169999999998254
11432,"heavy",100,0.44,0.818245283782052,0.924493317922531,0.277039293936587,0.75105364742696,1.41604868082038,0.233241653358621,0.244587561160375,0.616141761033473,0.329188480430835,0.734957157853824,1.55070788712165,0.234147065140688,0.247462349975618,0.693313612373501,0.316715651141535,0.983000000000175,NA,0.0160000000014406
11433,"heavy",100,0.62,0.975531053274847,0.225823330775159,0.33084894584818,0.89914275317544,0.285864286706479,0.324347959605454,0.260357423374302,0.301767007776083,0.294092472597854,0.843286156914775,0.553105974770373,0.335151436302181,0.280521893089492,0.513616213265323,0.284288193374687,0.664000000000669,NA,0.0169999999998254
11434,"heavy",100,0.53,1.08865227787912,0.396963287827107,0.162170072411881,1.1131343556011,0.458994267172016,0.115231064171706,0.232522680293674,0.301080609154182,0.300568417553556,1.08613693026198,0.600275143812851,0.11931873654482,0.238449609869335,0.411604154533355,0.286544040195283,1.15000000000146,NA,0.0169999999998254
11435,"heavy",100,0.53,1.25933734419103,0.446814117184957,0.154182330708307,1.14472284181832,0.760265849576854,0.226896040644725,0.266590385529252,0.478710142962564,0.267655068715139,1.12547974533276,0.997313811261301,0.220646180010212,0.283710006856849,0.67271426908356,0.270166443234723,0.700000000000728,NA,0.0169999999998254
11436,"heavy",100,0.49,1.25163624471966,0.367435930062529,0.234687804483817,1.32051842723384,0.132727108491734,0.345149153345341,0.281802498440699,0.685996586837947,0.335849715781236,1.32697363325706,0.109006439430807,0.352540087036166,0.289581349348606,0.738246812353716,0.333969840297486,0.854999999999563,NA,0.0159999999996217
11437,"heavy",100,0.41,0.67307791200986,0.711058004627105,0.482940424459647,0.598264124418278,1.28555356857497,0.461694211490999,0.244090364367204,0.566138479481145,0.321814349604379,0.580876070262819,1.41771810251462,0.507433587904048,0.254561347063867,0.658348139662394,0.326974434870564,0.917999999999665,NA,0.0149999999994179
11438,"heavy",100,0.49,1.00763590542196,0.56199993714641,0.230746938052976,1.08133726737636,0.616076872517338,0.22358341089171,0.259714641405219,0.575105344872103,0.275803776954071,1.07676356883754,0.642654878520803,0.255316688764793,0.265500509798695,0.713509874037783,0.283350136992589,1.03700000000026,NA,0.0160000000014406
11439,"heavy",100,0.42,1.05713709387302,0.514543886854027,0.0826280907801985,1.14472271306507,0.0893831706489004,0.154518349047674,0.242597882730226,0.159890323108104,0.349502748803714,1.10940268051982,0.201750561123408,0.146732814905369,0.255131446146811,0.280610818436911,0.333262740358658,1.06999999999971,NA,0.0149999999994179
11440,"heavy",100,0.45,1.12309785728401,0.18791789969937,0.314148375227218,1.10362784601715,0.326334353954244,0.320709914201617,0.221261892696299,0.471820609995642,0.275079435442642,1.09534700599997,0.339442839736187,0.312162603743809,0.22174278278955,0.471614270272757,0.274249471215106,0.881999999999607,NA,0.0159999999996217
11441,"heavy",100,0.48,0.89806821446899,0.509918271622747,0.289419087904106,0.861598466655185,0.595018930420074,0.215020301413513,0.252604094284147,0.386496783300251,0.344793239756124,0.805569743109722,0.90096834435223,0.262343757346193,0.276294927029604,0.574636826567387,0.342605739431917,0.518999999998414,NA,0.0159999999996217
11442,"heavy",100,0.47,0.799375594912967,0.374851623231408,0.43507229081089,0.906941012756399,-0.0914487395877715,0.558606358378452,0.238196583178269,0.524691453406216,0.291302485269974,0.883003687741771,-0.0155477697729694,0.554696918638952,0.251060967820321,0.582220555479763,0.289967599397662,0.961999999999534,NA,0.0169999999998254
11443,"heavy",100,0.53,0.876701099411036,0.319135163190416,0.640125268523326,0.841060275334898,0.361088989631925,0.678367231162271,0.301355464938538,0.43687819315901,0.310647776716573,0.819403587489089,0.519417364520233,0.702385901914025,0.316725277829584,0.66697633953558,0.302165501258283,0.818999999999505,NA,0.0159999999996217
11444,"heavy",100,0.44,0.896935679508651,0.567977520976117,0.34130189052935,0.978559342787327,0.351302390432941,0.404334195699726,0.222276309388002,0.471800663864935,0.319881621412495,0.976360853662632,0.396818607673959,0.405803112543019,0.222349073900123,0.495778536213087,0.321209378464058,0.923999999999069,NA,0.0159999999996217
11445,"heavy",100,0.46,1.12144963309124,0.480685657021483,0.327992365283477,1.03095190184656,0.914503885195644,0.312385793281575,0.24997296763654,0.56417911905875,0.292638048774998,0.99081681850803,1.14167834085749,0.345545272169729,0.262355397415221,0.697656545433267,0.284524637197951,0.68199999999888,NA,0.0159999999996217
11446,"heavy",100,0.52,0.819489348464119,0.582328172663748,0.241402195133589,0.73220667068011,0.708423137932193,0.239981201996212,0.248517722940889,0.307111524779393,0.303309659073299,0.672192851684458,0.925162518221509,0.307499861259078,0.262591341201503,0.437591688127657,0.300724342937054,1.29900000000089,NA,0.0159999999996217
11447,"heavy",100,0.49,0.959484816603124,0.566203093208682,0.300879181565204,0.808110706267606,0.984879367165788,0.337178765915979,0.285401063719674,0.409649025149132,0.306179649521189,0.790575446571332,1.05221540313074,0.354320045738861,0.285698146929841,0.448170333035629,0.302990287677171,0.708000000000538,NA,0.0169999999998254
11448,"heavy",100,0.54,1.05698145633391,0.714254923080629,0.134256333054377,1.02481744407681,0.947623606611776,0.0668635761497258,0.244976943306829,0.573489612672071,0.364737535962769,0.995907443640823,1.08298852342671,0.100051360607843,0.258060567364653,0.687599485958569,0.352537009854241,0.981999999999971,NA,0.0169999999998254
