"sim","censoring","n","B","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_extrap","beta_extrap","gamma_extrap","se_alpha_extrap","se_beta_extrap","se_gamma_extrap","alpha_extrap_no","beta_extrap_no","gamma_extrap_no","se_alpha_extrap_no","se_beta_extrap_no","se_gamma_extrap_no","time_extrap","time_extrap_no"
"11422-11","extra_heavy",100,80,0.78,0.949028945942047,0.483985189843266,0.446121221316123,1.13385453977249,0.00193021958990509,0.495305997880242,0.308614487084233,0.135290434369649,0.355109913337319,1.12855461511523,0.0309623291139276,0.50256219803966,0.357216456108223,1.52515809092565,0.285085632829739,26.764,1.57600000000002
"11422-12","extra_heavy",100,80,0.82,0.936488321697554,0.494132812983154,0.163281529159238,1.09548252600207,0.855483600444807,0.181576172063651,0.257589655330209,2.09178767993956,0.316962754263297,1.10240380728005,0.0858856954611869,0.221262897005009,0.302266545294039,1.76732032738582,0.259587842274783,24.149,1.61700000000002
"11422-13","extra_heavy",100,80,0.79,0.833451151708734,0.555941161021027,0.41600416718946,0.939120687312658,0.069374388824478,0.4814659252571,0.251392518962456,0.442275207793424,0.613458605996262,1.05345902133476,-0.882538731924323,0.785839423003298,0.37969530146513,2.91362421450155,0.3664210078935,30.872,1.55799999999999
"11422-14","extra_heavy",100,80,0.84,0.718043700546082,0.683529335028868,0.379574270268658,0.847816675455773,0.0956579569467363,0.591087357486296,0.318759295535117,0.668915488374046,0.596828358405167,0.756866801107353,1.61147206606834,0.440908520466121,0.432738942581836,3.06171969769628,0.37254934820695,26.325,1.654
"11422-15","extra_heavy",100,80,0.83,0.836722075080144,0.16334441818235,0.376621522413393,0.859146581948086,-0.0175027656374949,0.632905452238024,0.260130543414174,0.468293212503849,0.599164705488561,0.879890167098218,0.318368914094126,0.403093641800993,0.35987448897838,2.88430591657632,0.287073544309914,28.433,1.58800000000002
"11422-16","extra_heavy",100,80,0.75,1.05850809846288,0.855408603625633,-0.0956452367158457,0.979095688559,2.41719844335244,-0.235709152307127,0.299404111876772,2.8146535731107,0.497606601721574,0.806183340277198,5.60870963971708,0.0172173119478533,0.33781461201816,3.5869357956184,0.326859092490061,33.23,1.54300000000001
"11422-17","extra_heavy",100,80,0.8,0.773130121653043,0.428003528299376,0.602493976223006,0.813452335137296,0.482629760942714,0.602737143582716,0.365180801241921,1.13725391426336,0.42110697982443,0.782019951208065,1.23355240660073,0.730323352297593,0.445956202088497,3.89057280071682,0.339457295533354,34.308,1.58400000000006
"11422-18","extra_heavy",100,80,0.79,0.613237120677025,0.702051685405258,0.417971169877553,0.625772724782395,0.405144187710648,0.626083865965833,0.433192194701842,0.965140074854739,0.427019875669785,0.524794932141374,2.30381882688011,0.656747487983288,0.501822487442306,3.75414240492612,0.353553389818845,40.577,1.62199999999996
"11422-19","extra_heavy",100,80,0.82,0.935735505406977,0.576927001239635,0.43225678761938,0.962710296328614,0.615495798288965,-0.267297515129861,0.225440392681224,1.02853809270486,0.706908399317953,0.664890256146486,4.84129322037378,0.554419064000178,0.415876622944108,4.58601729050308,0.32261904545812,33.723,1.58799999999997
"11422-20","extra_heavy",100,80,0.78,0.670499933786614,0.65108891129049,0.482288097856321,0.666649579772462,0.978640382401631,0.549774357392312,0.280114465775713,1.23771240825921,0.406802759724935,0.543946156261644,2.99918355006711,0.623086919117527,0.381515294191804,3.05385096065999,0.299698623798651,39.473,1.57799999999997
"11422-21","extra_heavy",100,80,0.81,0.881226045453388,0.47867872650947,0.389922482651991,0.728234485907286,0.163672214428995,0.252120162275231,0.313093210057722,0.802232874260482,0.607151975578762,0.397303967896282,4.52260458888945,0.584385235304884,0.331763700362733,2.12013740913167,0.27920532181372,26.302,1.60500000000002
"11422-22","extra_heavy",100,80,0.88,1.05966024546392,0.477306420121542,0.286054707275448,1.09030380987628,0.0456182060707976,0.57944835532576,0.349291674466493,1.76244376567204,0.407583844149833,0.945731443562292,1.66919868642626,0.54418881267254,0.427869797567586,2.53391226884143,0.271846654189899,35.659,1.70500000000004
"11422-23","extra_heavy",100,80,0.79,1.23745137713961,0.638925756566401,0.0614273428413527,1.41162017522856,0.0420098271185551,-0.179884732541622,0.244803370627534,0.0943328542246574,0.626626340387474,1.36826156108885,0.670419751501835,0.165065125425978,0.40445583082255,3.39471318749837,0.329658889317382,27.546,1.70499999999993
"11422-24","extra_heavy",100,80,0.79,1.096898125404,0.515758340517047,0.0778137388250093,1.32390769090255,-0.342538062250216,0.742924457369014,0.259126659212107,1.22063307319734,0.567126891504332,1.48118324284395,-2.55956288788646,0.396005083393484,0.394317543646577,3.46352153612159,0.331752631371294,27.922,1.59400000000005
"11422-25","extra_heavy",100,80,0.78,1.00279190973553,0.50336906124406,0.118579664622054,0.981396736143786,0.305210090403962,-0.0281898497289776,0.24916568456346,0.780715379033464,0.451762174694373,0.871034999304832,2.90652954748348,0.299173405542765,0.351678170395804,3.42922347072077,0.260842837038989,26.8839999999999,1.54899999999998
"11422-26","extra_heavy",100,80,0.88,0.893648951398239,0.946304011147682,0.0635889330774687,1.02880285110242,0.153823515987387,0.0553077451043759,0.337700374205429,1.11138053913971,0.722964189290581,0.677433271141497,2.57477447576101,0.272597395702783,0.487445776988088,2.61688397334772,0.304189058374397,25.689,1.67500000000007
"11422-27","extra_heavy",100,80,0.82,0.980448809884644,0.631527916366876,0.0598253526789231,0.968241509777338,0.264817266447689,-0.470322553434321,0.32454724492633,1.11351473756495,0.697398176458782,0.825560387442518,2.82610786584839,0.276203503371058,0.4679235776013,3.84753311588464,0.351903763389823,25.2089999999999,1.61299999999994
"11422-28","extra_heavy",100,80,0.82,0.970510405228815,0.243563044132814,0.247723252581728,1.0799063555602,0.00848703042996211,0.235160255616815,0.308801009640783,0.200897996197945,0.478309203316005,1.12788130931681,-0.597100737247098,0.315988315513796,0.366759996379513,2.73795500611019,0.291653856937067,29.13,1.58699999999999
"11422-29","extra_heavy",100,80,0.83,0.612875528969169,0.539181357259173,0.667153360115302,0.736805641260961,0.108327006684021,0.718562348847626,0.298576728741214,0.763562482754473,0.6016248141074,0.633586182423233,0.716976796592066,0.81674936870109,0.439051269828419,2.90108518680596,0.337634448374417,27.426,1.63800000000003
"11422-30","extra_heavy",100,80,0.78,0.933749579994628,0.454251653929947,0.345030375464272,0.993023694030777,0.20176055251692,0.257801573879667,0.25958350639137,0.329317178157444,0.423308800226554,0.880295097869822,1.76905754672184,0.38305816835384,0.343244578147622,2.67077556457171,0.294446366524401,31.768,1.63599999999997
"11422-31","extra_heavy",100,80,0.8,0.936262136388954,0.35155063039976,0.168847406187874,1.04867489125382,-0.148425198291377,0.72000888542792,0.284064355196579,0.464586690947853,0.796140278675859,0.930630497282163,0.887062611800435,0.211492015437167,0.509307507655997,4.07903796230529,0.407496259653766,34.6540000000001,1.59199999999998
"11422-32","extra_heavy",100,80,0.81,0.96978358085722,0.548265684095653,0.347353016818312,0.786295014386922,1.18265568502166,0.315902419792257,0.358484661588836,1.29964433277035,0.482616129881398,0.590389343640041,4.4345990702133,0.448834272597253,0.415239041747881,2.77264797925224,0.298251223759446,41.692,3.00399999999991
"11422-33","extra_heavy",100,80,0.78,1.22608178523733,0.329357020620701,0.0644768118424718,1.25413161409701,0.0275153762725652,0.0394557067813165,0.381288945343696,0.0939251390087012,0.420888611920726,1.24453436062592,0.581921736531186,0.0682609264161445,0.396734884643448,2.30435342937242,0.289079863018235,29.9490000000001,2.91599999999994
"11422-34","extra_heavy",100,80,0.77,0.953430799062669,0.657222952109933,0.161852812207062,1.07092503775097,0.193809035228821,0.316999680528621,0.255397467506422,0.678467116989846,0.327675157138579,1.06808723644644,0.40592231347663,0.381286657712391,0.330474893073808,2.68640929749356,0.282780812937964,38.0940000000001,2.00700000000006
"11422-35","extra_heavy",100,80,0.82,0.918596596617843,0.277861365112896,0.305680468759869,0.956513004673303,0.0686497974967712,0.95001661930251,0.219851621145741,0.668376917596741,0.578796847009062,0.776643194624046,2.33285825464917,0.302654481314693,0.333476199298294,3.15363129201288,0.308074619506801,32.962,2.27200000000016
"11422-36","extra_heavy",100,80,0.84,1.03914915922439,0.544952654445444,0.192015994843066,1.07436713659474,1.29033212227121,0.00876235409101977,0.304292861088302,3.63764743920687,0.785170809719412,0.668300730425501,5.8573808143139,0.159117165528872,0.407887604937779,3.96806168973138,0.349043811133048,34.52,2.5920000000001
"11422-37","extra_heavy",100,80,0.87,1.12983262502808,0.590341119932596,-0.103294021318934,0.825357891471963,0.397155824582059,0.277874643193445,0.648620061139198,1.82264784958678,0.714477742694477,0.975152407809079,2.46124743352652,-0.00756401802349752,0.590568758914156,3.33819965369366,0.322824616603803,32.194,2.04899999999998
"11422-38","extra_heavy",100,80,0.7,0.812934202416847,0.748300584677696,0.451595892220652,0.897051811068235,0.607718414707923,0.404565384121089,0.261088139587627,1.08993412033595,0.341716055685536,0.85379923736003,1.54804235935467,0.493196328211905,0.354746651040678,2.65555957261044,0.300606450253996,45.434,2.93599999999992
"11422-39","extra_heavy",100,80,0.8,1.09035336182434,0.335535062061988,0.0814664235938738,1.14516568637778,0.0429109292091892,0.0928505792076539,0.287229369028357,0.16806515767427,0.384279263393249,1.13511401227525,0.364849001330231,0.164692292336591,0.327878172809422,2.05360691752504,0.331854139289886,36.0020000000002,1.68299999999999
"11422-40","extra_heavy",100,80,0.92,1.18320569144405,0.450403671172092,-0.0196133434460986,1.34139688845093,-0.494853497513412,-0.0468102464117533,0.384000283892823,1.98824280893768,0.436562363558792,0.840965661547933,2.03375321644632,0.104874327380946,0.587472284797909,2.35191013036198,0.253024974188787,36.039,3.01900000000001
"11422-41","extra_heavy",100,80,0.82,0.924250332406084,0.374958274902714,0.235886098224852,1.01146417079267,0.123163936632116,0.473699263039861,0.254847889747105,0.98644376575864,0.656658619283798,0.942967982807532,0.644582275508234,0.364769364868333,0.345744516701746,2.64348425534159,0.342266739160778,34.5039999999999,2.84900000000016
"11422-42","extra_heavy",100,80,0.8,0.904279331055908,0.704359423593718,0.300737250470523,0.883769017406632,0.398392016262277,0.220052973841727,0.336512245227354,0.653967994327333,0.485211560547398,0.671162518215977,4.70545523548795,0.394993404614014,0.404021494466433,3.88128398931041,0.303424618544699,35.934,1.9849999999999
"11422-43","extra_heavy",100,80,0.88,1.20427110607427,0.50753970182597,0.115974937055426,1.48446021051139,-0.851699148725721,0.21670773810678,0.418680441452131,2.97129522480133,0.50148615618315,1.43262430601045,-0.747727635692317,0.283265413153568,0.607874093827732,4.29747383757711,0.294391793095112,39.8910000000001,3.20399999999995
"11422-44","extra_heavy",100,80,0.87,0.835178137512687,0.879534171973531,0.374336336016442,0.950957380777198,0.218784545915338,0.640818900537107,0.448683432165699,1.18526662012069,0.798777979789699,0.892782572538969,1.42390765708729,0.565761052146995,0.613051809710299,3.39000654208514,0.314772054212555,32.2630000000001,2.38799999999992
"11422-45","extra_heavy",100,80,0.77,0.818047020024993,0.557180002968547,0.189755140153405,0.420080040033178,3.24525861025284,0.449123776630267,0.530582603176903,2.8284414261108,0.47486435796654,0.300377731751194,6.19194907791403,0.479125551719031,0.500338509555712,3.76238956604653,0.352742761823988,53.22,2.74700000000007
"11422-46","extra_heavy",100,80,0.83,0.823339411644215,0.212556851015687,0.640841309760131,0.850363548026062,0.145018426403595,0.37991798220651,0.211110267664904,0.346786229096604,0.632096257054954,0.722135486514614,1.53841814414276,0.658653789867999,0.50467926940783,4.35408279408461,0.324296853706229,37.7720000000002,2.77999999999997
"11422-47","extra_heavy",100,80,0.85,1.06903033287827,0.506172016355,0.266087842123629,1.22178459812817,0.226284235737704,0.261682140227449,0.278925758555764,1.24370783390954,0.590875630209912,1.19958653511228,0.0528724196607215,0.495814749116228,0.41003671838024,3.62594406807638,0.321620842610626,27.116,1.76599999999985
"11422-48","extra_heavy",100,80,0.79,0.919273980100488,0.691596455300383,0.222383129593896,0.917556206944405,0.0626994624426233,0.381811334380334,0.267615807706075,0.110567995941672,0.328566984231024,0.886850965863063,1.66038993983121,0.300852905295776,0.282267370664503,1.76102316187342,0.253811759252839,29.095,1.98800000000006
"11422-49","extra_heavy",100,80,0.86,1.09966964479541,0.519917574859595,0.093990315730194,1.14376606930006,0.349939602293601,-0.172433697480361,0.274254559360771,1.95119523142481,0.671697847922988,0.834681076112925,4.15451644078922,0.150402909545343,0.354660332362679,3.17209711416283,0.269335418712859,36.0139999999999,2.27500000000009
"11422-50","extra_heavy",100,80,0.9,0.811479330680767,0.722706579892847,0.388528746887686,0.919135892541674,1.05140874927168,0.456464959873213,0.340623354107771,3.15820255843006,0.66088959557539,0.581687489966186,3.79442861430105,0.534405051163572,0.65835037864411,5.27620672742451,0.358395040913704,39.3329999999999,2.11299999999983
